from,to,n
Gregg County,Gregg County,45442
Gregg County,Borden County,0
Gregg County,Gonzales County,0
Gregg County,Caldwell County,11
Gregg County,Willacy County,0
Gregg County,Jim Wells County,0
Gregg County,Kinney County,0
Gregg County,Camp County,20
Gregg County,Liberty County,0
Gregg County,Haskell County,0
Gregg County,San Jacinto County,0
Gregg County,Wilson County,0
Gregg County,DeWitt County,0
Gregg County,Aransas County,0
Gregg County,McMullen County,0
Gregg County,Hutchinson County,0
Gregg County,La Salle County,0
Gregg County,Atascosa County,0
Gregg County,Zapata County,0
Gregg County,Brown County,0
Gregg County,Mills County,0
Gregg County,Donley County,0
Gregg County,Guadalupe County,0
Gregg County,Cooke County,0
Gregg County,Parker County,0
Gregg County,Randall County,0
Gregg County,Burnet County,0
Gregg County,Freestone County,0
Gregg County,Crane County,0
Gregg County,Bailey County,0
Gregg County,Blanco County,0
Gregg County,Ector County,17
Gregg County,Hill County,0
Gregg County,Refugio County,0
Gregg County,Sabine County,0
Gregg County,Denton County,0
Gregg County,Goliad County,0
Gregg County,Navarro County,0
Gregg County,Comanche County,0
Gregg County,Throckmorton County,0
Gregg County,Uvalde County,0
Gregg County,Nolan County,0
Gregg County,Hale County,0
Gregg County,Smith County,1677
Gregg County,Lipscomb County,0
Gregg County,Titus County,55
Gregg County,Jack County,0
Gregg County,Montgomery County,0
Gregg County,Wichita County,0
Gregg County,Lamb County,0
Gregg County,Angelina County,19
Gregg County,Starr County,0
Gregg County,Hemphill County,0
Gregg County,Bandera County,0
Gregg County,Jasper County,0
Gregg County,Palo Pinto County,0
Gregg County,Zavala County,0
Gregg County,Clay County,0
Gregg County,Victoria County,10
Gregg County,Hartley County,0
Gregg County,McCulloch County,0
Gregg County,Ellis County,0
Gregg County,Fort Bend County,0
Gregg County,Rains County,0
Gregg County,Lynn County,0
Gregg County,Stephens County,0
Gregg County,Red River County,0
Gregg County,Terry County,0
Gregg County,Brewster County,0
Gregg County,Limestone County,0
Gregg County,Travis County,0
Gregg County,Upton County,0
Gregg County,Bowie County,0
Gregg County,Knox County,0
Gregg County,Somervell County,0
Gregg County,Sherman County,0
